"Country","State","City","Station name","Timestamp(UTC)","PM2.5","PM10","Ozone","CO","SO2","US AQI","Main pollutant"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-12T00:00:00.000Z",9.56,,36.22,,,40,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-13T00:00:00.000Z",15.86,,44.86,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-14T00:00:00.000Z",6.05,,45.52,,,25,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-15T00:00:00.000Z",6.17,,42.7,,,25,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-16T00:00:00.000Z",10.38,,30.1,,,43,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-17T00:00:00.000Z",3.95,,78.36,,,31,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-18T00:00:00.000Z",4.82,,55.27,,,22,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-19T00:00:00.000Z",5.76,,56.17,,,24,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-20T00:00:00.000Z",6.14,,66.43,,,27,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-21T00:00:00.000Z",9.43,,63.48,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-22T00:00:00.000Z",11.05,,36.9,,,46,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-23T00:00:00.000Z",12.95,,86.48,,,53,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-24T00:00:00.000Z",17.21,,58.67,,,62,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-25T00:00:00.000Z",10.26,,69.74,,,42,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-26T00:00:00.000Z",8.88,,70.42,,,37,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-27T00:00:00.000Z",19.54,,37.83,,,67,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-28T00:00:00.000Z",9.04,,66,,,37,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-29T00:00:00.000Z",6.6,,73,,,29,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-30T00:00:00.000Z",8,,49.05,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-31T00:00:00.000Z",8.67,,86.67,,,36,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-01T00:00:00.000Z",6.92,,75.48,,,30,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-02T00:00:00.000Z",3.45,,71.42,,,29,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-04-03T00:00:00.000Z",4.08,,79.67,,,32,"Ozone"
